Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks,Fund Age (Years)
360 ONE Balanced Hybrid Fund-Reg(G),Mayur Patel,HY-EQ,Unrated,860.1,1.94,Open Ended,2023-09-25,NIFTY 50 Hybrid Composite Debt 50:50 Index,12.45,12.57,10.62,0.09,-1.45,1.83,16.18,15.99,,,,53.0,53.0,104021.0,22.23,6.91,13.13,Financials,2.93,,7.39,8.27,1.58,2.28,1.2,7.5,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M,2.0
360 ONE Dynamic Bond Fund-Reg(G),Milan Mody,DT-DYN,2,737.5,0.52,Open Ended,2013-06-24,CRISIL Dynamic Bond Index,21.5,21.5,19.61,0.56,1.18,4.7,9.62,8.13,6.6,6.7,6.82,0.0,1.0,156243.5,55.18,14.37,15.24,Not Applicable,6.85,,7.35,3.5,3.72,6.7,0.64,1.45,Debt : Dynamic Bond,Nil,12.0
360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),Parijat Garg,EQ-ELSS,Unrated,75.8,0.52,Open Ended,2022-12-28,NIFTY 50 - TRI,13.45,14.56,11.74,-1.64,-7.88,-1.39,9.91,15.78,,,,3.0,50.0,555860.0,97.98,1.24,15.24,Financials,,,,1.51,0.47,0.71,0.99,13.9,Equity : Tax Saving (ELSS),Nil,3.0
360 ONE Flexicap Fund-Reg(G),Mayur Patel,EQ-FLEX,Unrated,1254.2,2.08,Open Ended,2023-06-30,BSE 500 - TRI,15.33,16.1,11.82,-0.61,-5.71,0.43,27.02,15.99,,,,27.0,53.0,96024.0,48.74,17.75,28.15,Financials,,,,16.98,1.4,2.02,0.92,15.45,Equity : Flexi Cap,1% on or before 365D Nil after 365D,2.0
360 ONE Focused Equity Fund-Reg(G),Mayur Patel,EQ-MLC,4,7305.0,1.78,Open Ended,2014-10-30,BSE 500 - TRI,46.19,50.23,39.0,-2.79,-8.69,-4.21,14.9,22.71,14.5,20.21,15.71,43.0,31.0,179687.0,67.69,10.53,17.9,Financials,,,,6.25,0.71,1.0,1.02,16.03,Equity : Multi Cap,1% on or before 12M,11.0
360 ONE Liquid Fund-Reg(G),Milan Mody,DT-LIQ,1,772.9,0.25,Open Ended,2013-11-13,CRISIL Liquid Debt Index,1945.6,1945.6,1815.46,0.58,1.71,3.47,7.19,7.04,6.27,5.03,5.9,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.14,,6.99,1.61,10.39,12.82,0.88,0.16,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D,12.0
360 ONE Quant Fund-Reg(G),Parijat Garg,EQ-THEM,Unrated,604.7,1.83,Open Ended,2021-11-29,BSE 200 - TRI,18.69,20.71,15.0,-1.03,-9.99,-2.28,21.82,33.9,22.83,,,94.0,35.0,123986.0,60.76,37.72,15.24,Financials,,,,12.78,0.96,1.37,1.1,19.17,Equity : Thematic,1% on or before 12M Nil after 12M,4.0
Aditya Birla SL Active Debt Multi-Mgr FoF(G),Kaustubh Gupta,FOF-DOM,Unrated,10.3,0.54,Open Ended,2006-12-28,CRISIL Composite Bond Index,35.85,35.94,33.24,0.43,1.13,3.91,7.84,7.32,5.87,6.21,6.77,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,2.6,2.17,3.78,0.4,1.74,FoFs : Domestic,0.25% on or before 15D Nil after 15D,19.0
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,3,13843.7,1.01,Open Ended,2009-07-24,Nifty 50 Arbitrage - TRI,25.69,25.69,23.92,0.66,1.83,3.45,7.45,7.32,6.24,5.31,5.84,1402.0,191.0,205260.0,51.67,15.08,3.69,Financials,1.02,0.66,7.5,3.53,3.35,7.38,-0.08,0.99,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D,16.0
Aditya Birla SL Asset Allocator FoF(G),Vinod Narayan Bhat,FOF-DOM,Unrated,187.4,1.25,Open Ended,2006-08-17,CRISIL Hybrid 50+50 - Moderate Index,63.05,65.76,53.88,0.06,-3.86,1.62,16.57,19.86,13.36,16.02,11.93,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,7.41,1.1,1.54,1.81,11.67,FoFs : Domestic,1% on or before 365D Nil after 365D,19.0
Aditya Birla SL Bal Bhavishya Yojna-Reg(G),Chanchal Khandelwal,HY-SOL,2,1087.2,2.15,Open Ended,2019-02-11,NIFTY 500 - TRI,19.68,20.94,16.55,-0.1,-6.77,-0.05,14.7,19.26,12.6,12.69,,58.0,63.0,121321.0,55.89,11.69,30.7,Financials,,,,4.89,0.72,1.01,2.23,15.85,Hybrid : Solution Oriented,Nil,6.0
Aditya Birla SL Balanced Advantage Fund(G),Harish krishnan,HY-DYN,4,7400.2,1.8,Open Ended,2000-04-25,CRISIL Hybrid 50+50 - Moderate Index,100.81,104.73,87.71,-0.53,-4.05,1.68,13.1,15.08,11.42,12.44,10.5,278.0,98.0,211944.0,51.92,11.13,3.84,Financials,3.73,2.87,7.41,5.17,1.12,1.66,1.23,7.84,Hybrid : Dynamic Asset Allocation,0.25% on or before 7D Nil after 7D,25.0
Aditya Birla SL Banking & Financial Services Fund-Reg(G),Dhaval Gala,EQ-FIN,4,3269.7,1.99,Open Ended,2013-12-14,Nifty Financial Services - TRI,56.09,60.25,48.89,-1.97,-6.47,-2.88,9.31,15.98,14.66,12.03,12.76,20.0,34.0,226190.0,65.94,11.52,19.26,Financials,,,,1.23,0.39,0.56,1.03,16.42,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D,12.0
Aditya Birla SL Banking & PSU Debt(G),Kaustubh Gupta,DT-B&PSU,4,9482.9,0.73,Open Ended,2008-05-05,NIFTY Banking and PSU Debt Index,350.92,350.92,325.39,0.55,1.45,3.97,7.84,7.33,6.1,6.51,7.54,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,4.46,3.3,7.41,2.65,5.12,9.72,0.37,0.73,Debt : Banking & PSU,Nil,17.0
Aditya Birla SL BSE India Infrastructure Index Fund-Reg(G),Priya Sridhar,EQ-INFRA,Unrated,709.5,1.08,Open Ended,2024-12-04,BSE India Infrastructure Index - TRI,9.59,10.19,9.35,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,,,,,4.33,1.34,2.01,0.88,12.37,Equity : Sectoral - Infrastructure,0.05% on or before 30D Nil after 30D,1.0
Aditya Birla SL BSE Sensex ETF,Priya Sridhar,EQ-ETF,Unrated,331.9,0.08,Open Ended,2016-07-18,BSE SENSEX - TRI,79.07,84.76,68.87,-1.64,-6.69,-0.82,9.8,15.66,12.43,15.19,,18.0,30.0,684548.0,99.14,0.72,15.24,Financials,,,,1.39,0.46,0.71,1.0,13.89,Equity : ETFs,,9.0
Aditya Birla SL Business Cycle Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,1823.2,2.1,Open Ended,2021-12-03,BSE 500 - TRI,14.97,15.99,12.45,0.2,-5.91,1.56,19.19,19.15,14.25,,,18.0,70.0,132232.0,55.93,17.75,23.6,Financials,,,,10.21,1.07,1.6,0.92,13.92,Equity : Thematic,1% on or before 30D Nil after 30D,4.0
Aditya Birla SL Conglomerate Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,709.5,1.08,Open Ended,2024-12-27,BSE Select Business Groups Index - TRI,10.05,10.05,10.0,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,,,,,4.33,1.34,2.01,0.88,12.37,Equity : Thematic,0.50% on or before 90D Nil after 90D,1.0
Aditya Birla SL Corp Bond Fund(G),Kaustubh Gupta,DT-CORP,5,24978.5,0.52,Open Ended,1997-03-03,NIFTY Corporate Bond Index,108.03,108.04,99.52,0.53,1.5,4.27,8.53,7.86,6.6,7.09,7.77,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,5.37,3.74,7.51,2.97,4.9,9.41,0.47,0.89,Debt : Corporate Bond,Nil,28.0
Aditya Birla SL Credit Risk Fund-Reg(G),Sunaina da Cunha,DT-CR,3,917.8,1.54,Open Ended,2015-04-22,CRISIL Credit Risk Debt Index,20.57,20.57,18.35,0.47,4.19,7.18,11.98,9.43,8.65,8.32,,0.0,1.0,156243.5,55.18,14.37,15.24,Not Applicable,3.03,2.14,8.28,6.48,2.63,15.65,0.4,2.91,Debt : Credit Risk,Nil upto 15% of units For remaining units 3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y,10.0
Aditya Birla SL CRISIL 10 Year Gilt ETF,Bhupesh Bameta,DT-ETF,Unrated,17.8,0.1,Open Ended,2024-08-13,Crisil 10 Yr Gilt Index,102.98,103.22,100.0,0.32,1.05,3.25,11.97,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,9.03,6.49,6.89,4.33,1.34,2.01,0.88,12.37,Debt : ETFs,,1.0
Aditya Birla SL CRISIL Broad Based Gilt ETF,Kaustubh Gupta,DT-ETF,Unrated,43.6,0.19,Open Ended,2024-07-05,CRISIL Broad Based Gilt Index,104.32,104.44,100.0,0.39,0.77,3.25,11.97,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,12.06,6.91,6.94,4.33,1.34,2.01,0.88,12.37,Debt : ETFs,,1.0
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,397.8,0.35,Open Ended,2022-10-13,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,11.89,11.89,10.99,0.5,1.4,4.08,8.09,7.9,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,3.22,2.79,6.96,2.72,4.47,9.85,0.4,0.87,Debt : Medium to Long Duration,Nil,3.0
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(G),Mohit Sharma,DT-MD,Unrated,168.1,0.35,Open Ended,2022-03-30,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2025,11.63,11.63,10.84,0.57,1.63,3.48,7.29,7.1,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.32,0.29,7.03,3.05,9.83,19.98,0.05,0.33,Debt : Medium Duration,Nil,3.0
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,1685.1,0.4,Open Ended,2022-03-29,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2027,11.66,11.66,10.83,0.55,1.56,3.79,7.79,7.3,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.03,1.8,7.2,2.97,6.56,14.95,0.23,0.55,Debt : Medium to Long Duration,Nil,3.0
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund-Reg(G),Bhupesh Bameta,DT-B&PSU,Unrated,52.8,0.45,Open Ended,2022-12-02,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2026,11.51,11.51,10.72,0.56,1.6,3.63,7.41,7.11,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.14,1.03,7.2,2.85,7.0,15.83,0.16,0.47,Debt : Banking & PSU,Nil,3.0
Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),Bhupesh Bameta,DT-MD,Unrated,294.3,0.36,Open Ended,2022-10-07,CRISIL IBX Gilt Index - April 2026,11.72,11.72,10.94,0.56,1.49,3.59,7.22,7.13,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.3,1.21,6.82,2.57,5.79,13.38,0.19,0.54,Debt : Medium Duration,Nil,3.0
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund-Reg(G),Bhupesh Bameta,DT-M&LD,Unrated,29.2,0.79,Open Ended,2023-03-15,CRISIL IBX Gilt Index - April 2028,11.34,11.34,10.56,0.53,1.28,3.73,7.38,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.96,2.56,6.85,2.02,3.68,7.79,0.41,0.88,Debt : Medium to Long Duration,Nil,2.0
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),Harshil Suvarnkar,DT-GILT,Unrated,695.2,0.37,Open Ended,2022-10-19,CRISIL IBX Gilt Index - April 2029,11.95,11.96,11.03,0.43,1.27,4.3,8.37,8.17,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,4.34,3.68,6.82,2.39,3.28,5.97,0.61,1.28,Debt : Gilt,Nil,3.0
Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund-Reg(G),Bhupesh Bameta,DT-LD,Unrated,87.2,0.47,Open Ended,2023-12-22,CRISIL IBX Gilt Index - April 2033,10.94,10.94,10.0,0.45,0.99,4.69,9.22,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,7.66,5.65,6.92,1.94,2.71,4.96,0.99,1.8,Debt : Long Duration,Nil,2.0
Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund-Reg(G),Bhupesh Bameta,DT-GILT,Unrated,13.0,0.5,Open Ended,2024-06-05,CRISIL IBX Gilt Index - June 2027,10.45,10.45,10.0,0.5,1.42,3.8,11.97,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.4,2.09,6.79,4.33,1.34,2.01,0.88,12.37,Debt : Gilt,Nil,1.0
Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund-Reg(G),Bhupesh Bameta,DT-LD,Unrated,160.0,0.57,Open Ended,2023-02-14,CRISIL IBX SDL Index - June 2032,11.72,11.72,10.61,0.65,1.46,4.6,9.8,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,7.12,5.35,7.19,3.12,3.04,6.2,0.76,1.77,Debt : Long Duration,Nil,2.0
Aditya Birla SL CRISIL Liquid Overnight ETF,Sanjay Pawar,DT-ON,Unrated,61.9,0.43,Open Ended,2023-03-13,CRISIL Liquid Overnight Index,1000.0,1000.55,1000.0,0.51,1.51,3.02,6.29,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,0.93,6.72,8.75,0.88,0.14,Debt : Overnight,,2.0
Aditya Birla SL CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund-Reg(G),Harshil Suvarnkar,DT-M&LD,Unrated,100.9,1.08,Open Ended,2024-11-13,CRISIL IBX AAA Financial Services Index - Sep 2027,10.08,10.09,10.0,0.6,-2.11,3.25,11.97,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.39,2.03,7.66,4.33,1.34,2.01,0.88,12.37,Debt : Medium to Long Duration,Nil,1.0
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index-Dec 2025 Fund-Reg(G),Sanjay Godambe,DT-SD,Unrated,372.4,1.08,Open Ended,2024-10-15,CRISIL-IBX AAA NBFC-HFC Index - Dec 2025,10.15,10.15,10.0,0.63,-2.11,3.25,11.97,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.94,0.87,7.84,4.33,1.34,2.01,0.88,12.37,Debt : Short Duration,Nil,1.0
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund-Reg(G),Harshil Suvarnkar,DT-SD,Unrated,274.9,1.08,Open Ended,2024-10-08,CRISIL-IBX AAA NBFC-HFC Index - Sep 2026,10.17,10.17,10.0,0.66,-2.11,3.25,11.97,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.62,1.43,7.86,4.33,1.34,2.01,0.88,12.37,Debt : Short Duration,Nil,1.0
Aditya Birla SL CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund-Reg(G),Harshil Suvarnkar,DT-USD,Unrated,1118.5,1.08,Open Ended,2024-12-17,CRISIL-IBX Financial Services 3 to 6 Months Debt Index,10.04,10.04,10.0,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,Debt : Ultra Short Duration,Nil,1.0
Aditya Birla SL Digital India Fund(G),Kunal Sangoi,EQ-TECH,Unrated,5332.7,1.87,Open Ended,2000-01-15,BSE TECk Index - TRI,186.86,197.62,146.0,0.03,-0.05,12.91,18.32,26.67,7.98,27.7,18.88,31.0,33.0,191813.0,64.97,7.44,20.23,Technology,,,,10.68,0.9,1.69,0.73,16.04,Equity : Sectoral - Technology,1% on or before 30D Nil after 30D,25.0
Aditya Birla SL Dividend Yield Fund(G),Dhaval Gala,EQ-DIV,Unrated,1536.5,2.21,Open Ended,2003-02-10,NIFTY 500 - TRI,452.51,497.49,379.09,-1.52,-8.76,0.55,18.18,28.94,20.52,22.45,12.14,33.0,67.0,114357.0,55.76,10.69,24.65,Technology,,,,9.83,0.88,1.27,0.98,16.7,Equity : Thematic - Dividend Yield,1% on or before 90D Nil after 90D,22.0
Aditya Birla SL Dynamic Bond Fund-Reg(G),Mohit Sharma,DT-DYN,1,1716.9,1.23,Open Ended,2004-09-27,NIFTY Composite Debt Index,44.23,44.27,40.6,0.45,0.6,4.27,8.8,7.76,7.16,7.19,6.4,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,15.02,8.15,7.24,1.18,2.14,3.62,1.13,2.11,Debt : Dynamic Bond,Nil upto 15% of units0.50% in excess of limit on or before 90D and Nil after 90D,21.0
Aditya Birla SL ELSS Tax Saver Fund(G),Dhaval Shah,EQ-ELSS,1,15745.8,1.68,Open Ended,2008-03-10,NIFTY 500 - TRI,57.89,62.96,48.77,-1.67,-8.66,-2.08,16.11,18.22,11.41,12.22,11.03,28.0,67.0,190619.0,64.01,17.53,15.24,Financials,,,,7.71,0.89,1.3,0.92,13.83,Equity : Tax Saving (ELSS),Nil,17.0
Aditya Birla SL Equity Advantage Fund(G),Vishal Gajwani,EQ-L&M,4,5869.5,1.9,Open Ended,1995-02-24,NIFTY LargeMidcap 250 - TRI,901.21,960.8,746.94,0.23,-6.92,-0.62,16.09,22.12,9.17,16.01,12.3,47.0,77.0,103434.0,45.23,36.14,17.16,Financials,,,,7.51,0.79,1.12,0.97,15.67,Equity : Large & Mid Cap,1% on or before 90D Nil after 90D,30.0
Aditya Birla SL Equity Hybrid 95 Fund(G),Chanchal Khandelwal,HY-EQ,4,7684.2,1.85,Open Ended,1995-02-10,CRISIL Hybrid 35+65 - Aggressive Index,1486.91,1557.86,1261.26,-0.72,-4.98,0.65,15.6,18.88,11.68,13.88,10.37,69.0,80.0,216645.0,55.66,9.09,11.79,Financials,5.45,3.63,7.43,5.95,1.06,1.59,1.79,10.52,Hybrid : Equity Oriented,1% on or before 90D Nil after 90D,30.0
Aditya Birla SL Equity Savings Fund-Reg(G),Lovelish Solanki,HY-EQ,2,624.3,1.12,Open Ended,2014-11-28,NIFTY 50 Equity Savings Index - TRI,21.07,21.07,19.38,0.38,-0.1,2.84,8.31,9.93,6.26,8.42,7.57,692.0,121.0,258243.0,48.73,16.8,3.32,Financials,3.53,2.78,6.92,2.7,1.5,2.45,0.46,2.68,Hybrid : Equity Oriented,0.25% on or before 7D Nil after 7D,11.0
Aditya Birla SL ESG Integration Strategy Fund-Reg(G),Chanchal Khandelwal,EQ-THEM,Unrated,686.8,2.41,Open Ended,2020-12-24,NIFTY100 ESG - TRI,18.1,18.95,14.38,-0.11,-5.57,5.7,22.15,23.04,9.46,,,18.0,49.0,188095.0,67.07,21.51,9.87,Financials,,,,12.78,1.29,2.12,0.85,13.25,Equity : Thematic,1% on or before 30D Nil after 30D,5.0
Aditya Birla SL Financial Planning FOF Aggressive Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,216.0,1.19,Open Ended,2011-05-09,CRISIL Hybrid 35+65 - Aggressive Index,51.1,54.15,43.41,-0.26,-5.27,1.11,16.89,20.7,14.75,16.85,12.37,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,7.79,1.09,1.58,1.79,11.99,FoFs : Domestic,1% on or before 365D Nil after 365D,14.0
Aditya Birla SL Financial Planning FOF Conservative Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,19.1,1.06,Open Ended,2011-05-09,CRISIL Short Term Debt Hybrid 75+25 Index,32.42,33.22,28.97,0.19,-2.21,2.39,11.72,13.8,10.51,11.22,8.85,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.69,1.27,1.85,1.03,6.08,FoFs : Domestic,1% on or before 1Y Nil after 1Y,14.0
Aditya Birla SL Financial Planning FOF Moderate Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,36.3,1.18,Open Ended,2011-05-09,CRISIL Hybrid 50+50 - Moderate Index,40.08,41.8,34.91,-0.1,-3.85,1.72,14.29,17.23,12.6,14.02,10.51,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,6.15,1.15,1.66,1.43,9.08,FoFs : Domestic,1% on or before 365D Nil after 365D,14.0
Aditya Birla SL Flexi Cap Fund(G),Harish krishnan,EQ-FLEX,3,22440.2,1.68,Open Ended,1998-08-27,NIFTY 500 - TRI,1734.39,1853.62,1425.06,-0.79,-7.15,1.95,18.66,22.91,14.53,17.63,13.92,44.0,81.0,188311.0,69.01,16.84,12.37,Financials,,,,9.83,1.05,1.59,0.92,13.73,Equity : Flexi Cap,1% on or before 90D Nil after 90D,27.0
Aditya Birla SL Floating Rate Fund(G),Kaustubh Gupta,DT-FL,3,13287.1,0.44,Open Ended,2009-03-25,NIFTY Low Duration Debt Index,333.94,333.94,309.53,0.62,1.85,3.85,7.9,7.68,6.72,6.46,7.37,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.89,1.02,7.64,3.6,10.34,19.98,0.07,0.37,Debt : Floater,Nil,16.0
Aditya Birla SL Focused Fund(G),Kunal Sangoi,EQ-LC,3,7706.3,1.82,Open Ended,2005-10-24,NIFTY 500 - TRI,138.24,148.29,112.95,-1.05,-7.02,1.6,19.31,21.7,14.34,16.83,12.38,27.0,29.0,327990.0,78.14,11.98,2.11,Financials,,,,9.9,1.08,1.66,0.94,13.58,Equity : Large Cap,1% on or before 90D Nil after 90D,20.0
Aditya Birla SL Frontline Equity Fund(G),Mahesh Patil,EQ-LC,4,29323.3,1.65,Open Ended,2002-08-30,NIFTY 100 - TRI,511.08,550.82,427.33,-1.27,-7.69,-0.12,16.0,20.12,14.5,16.79,12.3,40.0,79.0,308142.0,83.74,4.63,8.17,Financials,,,,7.13,0.87,1.31,0.95,13.68,Equity : Large Cap,1% on or before 90D Nil after 90D,23.0
Aditya Birla SL FTP-TI-1837D-Reg(G),Mohit Sharma,DT-FMP,Unrated,304.9,1.08,Closed Ended,2021-06-29,CRISIL Medium to Long Term Debt Index,12.25,12.25,11.34,0.57,1.59,3.89,8.02,7.57,5.83,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,3.4,6.07,14.84,0.16,0.64,Debt : FTP/FMP,,4.0
Aditya Birla SL FTP-TJ-1838D-Reg(G),Mohit Sharma,DT-FMP,Unrated,25.1,1.08,Closed Ended,2021-07-16,CRISIL Medium to Long Term Debt Index,12.24,12.24,11.33,0.55,1.56,3.85,8.08,7.6,5.88,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,3.4,6.1,14.1,0.18,0.64,Debt : FTP/FMP,,4.0
Aditya Birla SL FTP-TQ-1879D-Reg(G),Mohit Sharma,DT-FMP,Unrated,211.8,1.08,Closed Ended,2022-03-24,CRISIL Medium to Long Term Debt Index,11.82,11.83,10.95,0.5,1.51,3.99,8.06,7.78,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,3.02,5.66,13.27,0.29,0.69,Debt : FTP/FMP,,3.0
Aditya Birla SL FTP-UB-1224D-Reg(G),Mohit Sharma,DT-FMP,Unrated,24.5,1.08,Closed Ended,2022-12-16,CRISIL Medium Duration Debt Index,11.54,11.54,10.74,0.59,1.55,3.73,7.48,7.37,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,2.8,5.97,13.55,0.2,0.57,Debt : FTP/FMP,,3.0
Aditya Birla SL FTP-UJ-1110D-Reg(G),Mohit Sharma,DT-FMP,Unrated,73.3,1.08,Closed Ended,2023-03-27,CRISIL Medium Duration Debt Index,11.36,11.36,10.57,0.57,1.53,3.76,7.46,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,2.87,5.9,12.9,0.17,0.57,Debt : FTP/FMP,,2.0
Aditya Birla SL G-Sec Fund(G),Bhupesh Bameta,DT-GILT,3,2045.0,1.14,Open Ended,1999-10-11,Nifty All Duration G-Sec Index,78.26,78.55,71.6,0.22,0.03,3.63,9.03,7.96,5.85,6.51,7.73,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,20.87,9.38,7.04,0.66,1.84,3.21,1.36,2.55,Debt : Gilt,Nil,26.0
Aditya Birla SL Global Emerging Opp Fund(G),Dhaval Joshi,FOF-OVR,Unrated,248.2,1.16,Open Ended,2008-09-17,S&P Global 1200,25.21,26.2,20.57,-1.08,2.34,3.6,19.6,-2.14,4.68,12.29,7.51,0.2,1.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,15.2,1.1,1.78,0.5,15.01,FoFs : Overseas,0.25% on or before 28D Nil after 28D,17.0
Aditya Birla SL Global Excellence Equity FoF(G),Dhaval Joshi,FOF-OVR,Unrated,201.4,1.28,Open Ended,2007-12-31,MSCI World,32.11,33.15,26.33,-0.93,-0.19,1.7,19.66,2.85,7.99,8.76,6.39,0.06,1.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,15.3,1.1,1.8,0.48,14.91,FoFs : Overseas,0.25% on or before 28D Nil after 28D,18.0
Aditya Birla SL Gold ETF,Sachin Wankhede,GOLD-ETF,Unrated,946.5,0.54,Open Ended,2011-05-13,Gold-India,68.35,70.72,55.06,-0.17,1.3,6.3,19.85,16.77,15.79,13.5,9.93,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,15.12,1.22,1.85,0.09,12.62,Gold : ETFs,Nil,14.0
Aditya Birla SL Gold Fund(G),Priya Sridhar,GOLD-MF,Unrated,434.7,0.52,Open Ended,2012-03-20,Gold-India,22.47,23.53,18.36,-0.66,0.74,6.25,18.87,16.41,15.05,12.71,9.36,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,13.78,1.03,1.71,0.23,14.05,Gold : MFs,1% on or before 15D Nil after 15D,13.0
Aditya Birla SL Income Fund(G),Bhupesh Bameta,DT-M&LD,5,2185.1,1.16,Open Ended,1995-10-21,CRISIL Medium to Long Term Debt Index,120.55,120.72,110.98,0.46,0.75,3.96,8.39,7.45,5.72,6.69,6.97,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,15.12,6.65,7.34,1.23,2.3,4.06,0.97,1.8,Debt : Medium to Long Duration,Nil,30.0
