Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks,Fund Age (Years)
Mirae Asset Nifty SDL Jun 2027 Index Fund-Reg(G),Amit Modani,DT-M&LD,Unrated,802.6,0.33,Open Ended,2022-03-30,Nifty SDL Jun 2027 Index,11.75,11.76,10.85,0.55,1.51,3.94,8.38,7.61,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.38,2.11,7.07,3.4,5.13,11.04,0.25,0.81,Debt : Medium to Long Duration,Nil,3.0
Mirae Asset Nifty SDL June 2028 Index Fund-Reg(G),Mahendra Kumar Jajoo,DT-M&LD,Unrated,69.9,0.48,Open Ended,2023-03-31,Nifty SDL June 2028 Index,11.39,11.4,10.51,0.43,1.37,4.13,8.27,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,3.3,2.8,7.1,2.92,3.44,7.17,0.38,1.18,Debt : Medium to Long Duration,Nil,2.0
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,Ekta Gala,EQ-ETF,Unrated,424.0,0.39,Open Ended,2024-02-23,Nifty Smallcap250 Momentum Quality 100 - TRI,50.7,54.0,39.87,-1.08,-5.58,-2.31,11.97,15.99,,,,18.0,100.0,23038.0,0.5,23.11,76.31,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF FoF-Reg(G),Ekta Gala,FOF-DOM,Unrated,188.2,0.72,Open Ended,2024-03-01,Nifty Smallcap250 Momentum Quality 100 - TRI,11.22,12.03,9.0,-0.85,-5.4,-2.67,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,FoFs : Domestic,0.05% on or before 15D Nil after 15D,1.0
Mirae Asset Nifty Total Market Index Fund-Reg(G),Ekta Gala,EQ-INDX,Unrated,31.5,0.92,Open Ended,2024-10-28,Nifty Total Market - TRI,10.1,10.35,9.66,-0.91,-2.11,3.25,11.97,15.99,,,,18.0,751.0,195057.0,67.66,17.78,14.02,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,Nil,1.0
Mirae Asset Nifty200 Alpha 30 ETF FoF-Reg(G),Ekta Gala,FOF-DOM,Unrated,188.0,0.71,Open Ended,2024-07-26,Nifty200 Alpha 30 - TRI,9.47,10.41,8.86,0.58,-8.43,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,FoFs : Domestic,0.05% on or before 15D Nil after 15D,1.0
Mirae Asset Nifty500 Multicap 50:25:25 ETF,Ekta Gala,EQ-ETF,Unrated,37.4,0.16,Open Ended,2024-08-30,Nifty500 Multicap 50:25:25 - TRI,16.08,17.03,15.27,-0.25,-6.29,3.25,11.97,15.99,,,,18.0,501.0,121203.0,49.92,24.92,24.94,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
Mirae Asset NYSE FANG+ ETF,Siddharth Srivastava,EQ-ETF,Unrated,2559.2,0.66,Open Ended,2021-05-07,NYSE FANG+ TRI,110.94,115.98,69.15,7.2,17.4,18.73,54.3,73.49,26.1,,,18.0,10.0,156243.5,55.18,14.37,15.24,,,,,45.03,1.78,2.93,-0.08,25.19,Equity : ETFs,,4.0
Mirae Asset NYSE FANG+ETF FoF-Reg(G),Ekta Gala,FOF-OVR,Unrated,1694.4,0.45,Open Ended,2021-05-10,NYSE FANG+ TRI,28.57,29.17,14.69,22.27,43.51,44.07,85.87,88.82,33.69,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,61.34,2.85,5.51,0.88,22.41,FoFs : Overseas,0.50% on or before 3M Nil after 3M,4.0
Mirae Asset Overnight Fund-Reg(G),Abhishek Iyer,DT-ON,2,1743.3,0.17,Open Ended,2019-10-15,Nifty 1D Rate Index,1283.1,1283.1,1203.38,0.55,1.61,3.25,6.65,6.63,5.97,4.89,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.01,0.01,6.67,0.28,30.21,2.12,0.88,0.01,Debt : Overnight,Nil,6.0
Mirae Asset S&P 500 Top 50 ETF,Siddharth Srivastava,EQ-ETF,Unrated,793.3,0.65,Open Ended,2021-09-21,S&P 500 Top 50 TRI,47.92,49.28,34.55,1.85,7.32,12.04,36.45,36.73,16.17,,,18.0,51.0,156243.5,55.18,14.37,15.24,,,,,29.81,1.93,3.13,0.01,15.43,Equity : ETFs,,4.0
Mirae Asset S&P 500 Top 50 ETF FoF-Reg(G),Ekta Gala,FOF-OVR,Unrated,643.4,0.49,Open Ended,2021-09-22,S&P 500 Top 50 TRI,20.59,20.88,12.3,9.22,32.37,34.0,64.15,49.12,22.94,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,50.45,1.82,3.14,0.62,28.65,FoFs : Overseas,0.50% on or before 3M Nil after 3M,4.0
Mirae Asset Short Duration Fund-Reg(G),Basant Bafna,DT-SD,2,365.4,1.12,Open Ended,2018-03-16,CRISIL Short Duration Debt Index,15.06,15.06,14.0,0.55,1.43,3.82,7.56,6.93,5.63,5.68,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,3.21,2.55,7.47,2.47,5.35,11.45,0.33,0.65,Debt : Short Duration,Nil,7.0
Mirae Asset Silver ETF,Ritesh Patel,GOLD-ETF,Unrated,88.6,0.39,Open Ended,2023-06-09,Silver,86.28,97.63,69.07,-4.2,-4.91,-2.58,15.4,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,12.02,0.6,1.03,0.57,22.74,Gold : ETFs,,2.0
Mirae Asset Small Cap Fund-Reg(G),Varun Goel,EQ-SML,Unrated,709.5,1.08,Open Ended,,Nifty Smallcap 250 - TRI,26.17,27.64,22.01,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,,,,,4.33,1.34,2.01,0.88,12.37,Equity : Small Cap,1% on or before 365D Nil after 365D,
Mirae Asset Ultra Short Duration Fund-Reg(G),Basant Bafna,DT-USD,1,1735.6,0.45,Open Ended,2020-10-07,NIFTY Ultra Short Duration Debt Index,1259.93,1259.93,1170.98,0.64,1.81,3.69,7.61,7.37,6.47,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.49,0.46,7.46,3.48,11.57,22.98,0.03,0.31,Debt : Ultra Short Duration,Nil,5.0
Motilal Oswal 5 Year G-Sec FoF-Reg(G),Rakesh Shetty,FOF-DOM,Unrated,29.3,0.2,Open Ended,2021-10-06,Nifty 5 yr Benchmark G-Sec Index TRI,11.84,11.9,11.01,0.64,1.57,4.44,7.65,7.28,5.48,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,3.5,0.65,1.11,0.2,6.3,FoFs : Domestic,1% on or before 15D Nil after 15D,4.0
Motilal Oswal Arbitrage Fund-Reg(G),Vishal Ashar,HY-ARB,Unrated,709.5,1.08,Open Ended,2024-12-23,Nifty 50 Arbitrage - TRI,10.02,10.02,10.0,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,,,,,4.33,1.34,2.01,0.88,12.37,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D,1.0
Motilal Oswal Asset Allocation Passive FoF-Aggressive-Reg(G),Bhalchandra Shinde,FOF-DOM,Unrated,68.8,0.52,Open Ended,2021-03-12,NIFTY 500 - TRI,16.5,16.98,14.08,-0.64,-2.27,3.01,16.47,18.84,12.63,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,8.19,1.38,2.1,1.31,8.74,FoFs : Domestic,1% on or before 15D Nil after 15D,4.0
Motilal Oswal Asset Allocation Passive FoF-Conservative-Reg(G),Bhalchandra Shinde,FOF-DOM,Unrated,43.3,0.49,Open Ended,2021-03-12,Nifty 5 yr Benchmark G-Sec Index TRI,14.77,14.97,13.01,-0.14,-0.87,3.5,12.99,14.39,10.03,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,6.2,1.4,2.21,0.89,6.32,FoFs : Domestic,1% on or before 15D Nil after 15D,4.0
Motilal Oswal Balanced Advantage Fund-Reg(G),Santosh Singh,HY-DYN,2,1145.1,2.2,Open Ended,2016-09-27,CRISIL Hybrid 50+50 - Moderate Index,20.93,23.32,18.74,-1.64,-10.2,-2.58,8.83,16.84,10.63,9.6,,290.0,22.0,27508.0,14.97,21.03,47.89,Financials,0.27,1.62,7.75,2.82,0.52,0.83,1.05,11.32,Hybrid : Dynamic Asset Allocation,1% on or before 1Y Nil after 1Y,9.0
Motilal Oswal BSE Enhanced Value ETF,Swapnil P Mayekar,EQ-ETF,Unrated,137.5,0.3,Open Ended,2022-08-22,BSE Enhanced Value Index - TRI,97.35,111.48,79.6,-4.08,-13.45,-8.66,19.83,39.13,,,,18.0,31.0,149310.0,68.38,30.72,0.54,Financials,,,,11.94,0.71,1.0,1.4,26.02,Equity : ETFs,,3.0
Motilal Oswal BSE Enhanced Value Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,834.3,1.1,Open Ended,2022-08-22,BSE Enhanced Value Index - TRI,23.29,26.75,19.27,-4.13,-13.6,-9.02,18.36,37.34,,,,18.0,31.0,149300.0,68.3,30.68,0.54,Financials,,,,10.18,0.67,0.95,1.38,25.79,Equity : Index Funds,1% on or before 15D Nil after 15D,3.0
Motilal Oswal BSE Financials ex Bank 30 Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,18.9,1.01,Open Ended,2022-07-29,BSE Financials ex Bank 30 - TRI,15.31,16.66,13.09,-0.45,-9.93,-1.11,12.88,23.49,,,,18.0,30.0,134634.0,69.98,27.29,2.23,Financials,,,,4.99,0.53,0.78,1.12,20.16,Equity : Index Funds,1% on or before 15D Nil after 15D,3.0
Motilal Oswal BSE Healthcare ETF,Swapnil P Mayekar,EQ-ETF,Unrated,32.3,0.22,Open Ended,2022-07-29,BSE Health Care - TRI,46.02,46.02,32.44,4.08,2.69,22.23,43.82,41.36,,,,18.0,99.0,68905.0,37.77,33.31,28.76,Healthcare,,,,31.9,2.59,4.72,0.47,13.18,Equity : ETFs,,3.0
Motilal Oswal BSE Low Volatility ETF,Swapnil P Mayekar,EQ-ETF,Unrated,85.9,0.37,Open Ended,2022-03-23,BSE Low Volatility Index - TRI,36.83,40.92,32.43,-0.29,-10.65,-3.93,11.63,21.28,,,,18.0,30.0,214400.0,74.6,19.93,5.46,FMCG,,,,4.59,0.68,1.16,0.69,11.53,Equity : ETFs,,3.0
Motilal Oswal BSE Low Volatility Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,102.3,1.03,Open Ended,2022-03-23,BSE Low Volatility Index - TRI,16.02,17.83,14.3,-0.35,-10.8,-4.28,10.15,20.0,,,,18.0,30.0,214499.0,74.65,19.92,5.47,FMCG,,,,2.97,0.56,0.94,0.69,11.62,Equity : Index Funds,1% on or before 15D Nil after 15D,3.0
Motilal Oswal BSE Quality ETF,Swapnil P Mayekar,EQ-ETF,Unrated,18.0,0.3,Open Ended,2022-08-22,BSE Quality Index - TRI,191.36,218.45,161.66,-1.7,-13.31,-7.18,16.33,25.61,,,,18.0,30.0,215808.0,76.89,19.49,3.63,FMCG,,,,8.82,0.8,1.21,0.92,16.31,Equity : ETFs,,3.0
Motilal Oswal BSE Quality Index Fund-Reg(G),Swapnil P Mayekar,EQ-INDX,Unrated,37.3,1.03,Open Ended,2022-08-22,BSE Quality Index - TRI,16.51,18.85,14.08,-1.74,-13.27,-7.45,15.28,24.47,,,,18.0,30.0,216358.0,75.83,19.08,3.57,FMCG,,,,7.61,0.76,1.14,0.92,16.2,Equity : Index Funds,1% on or before 15D Nil after 15D,3.0
Motilal Oswal Business Cycle Fund-Reg(G),Ajay Khandelwal,EQ-THEM,Unrated,1352.8,2.08,Open Ended,2024-08-27,NIFTY 500 - TRI,13.08,13.29,10.0,4.29,12.8,3.25,11.97,15.99,,,,42.0,18.0,30924.0,37.92,28.15,26.06,Retail and Other Services,,,,4.33,1.34,2.01,0.88,12.37,Equity : Thematic,1% on or before 1Y Nil after 1Y,1.0
Motilal Oswal Developed Market Ex US ETFs FoF-Reg(G),Sunil Sawant,FOF-OVR,Unrated,30.3,0.57,Open Ended,2023-09-21,S&P Developed Ex-U.S. BMI Total Return Index,11.37,12.24,10.47,-2.09,-5.82,0.05,4.43,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,-2.12,0.09,0.16,1.12,12.51,FoFs : Overseas,1% on or before 15D Nil after 15D,2.0
Motilal Oswal Digital India Fund-Reg(G),Varun Sharma,EQ-TECH,Unrated,684.3,2.34,Open Ended,2024-11-04,BSE TECk Index - TRI,10.83,10.9,9.86,3.31,-2.11,3.25,11.97,15.99,,,,18.0,19.0,47020.0,26.56,19.67,36.57,Technology,,,,4.33,1.34,2.01,0.88,12.37,Equity : Sectoral - Technology,1% on or before 3M Nil after 3M,1.0
Motilal Oswal ELSS Tax Saver Fund-Reg(G),Ajay Khandelwal,EQ-ELSS,3,4186.9,1.83,Open Ended,2015-01-21,NIFTY 500 - TRI,56.35,57.04,37.74,4.58,2.28,15.21,47.73,43.1,27.75,24.38,,73.0,31.0,70391.0,29.19,42.57,27.04,Capital Goods,,,,33.52,2.05,3.1,0.93,18.6,Equity : Tax Saving (ELSS),Nil,10.0
